# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.reload.project.entities.ms,1734991314775000000,1734991341536000000,0
jps.facet.change.listener.before.change.events.ms,1734991314775000000,1734991341536000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1734991314775000000,1734991341536000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1734991314775000000,1734991341536000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1734991314775000000,1734991341536000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1734991314775000000,1734991341536000000,0
jps.global.get.library.ms,1734991314775000000,1734991341536000000,0
jps.library.entities.serializer.load.entities.ms,1734991314775000000,1734991341536000000,0
jps.modifiable.module.model.bridge.load.module.ms,1734991314775000000,1734991341536000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1734991314775000000,1734991341536000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1734991314775000000,1734991341536000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1734991314775000000,1734991341536000000,0
workspaceModel.global.updates.count,1734991314775000000,1734991341536000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1734991314775000000,1734991341536000000,4
workspaceModel.moduleManagerBridge.load.all.modules.ms,1734991314775000000,1734991341536000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1734991314775000000,1734991341536000000,0
workspaceModel.load.cache.metadata.from.file.ms,1734991314775000000,1734991341536000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1734991314775000000,1734991341536000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1734991314775000000,1734991341536000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1734991314775000000,1734991341536000000,0
jps.module.iml.entities.serializer.save.entities.ms,1734991314775000000,1734991341536000000,11
jps.facet.change.listener.init.bridge.ms,1734991314775000000,1734991341536000000,0
workspaceModel.sync.entities.ms,1734991314775000000,1734991341536000000,0
jps.artifact.entities.serializer.load.entities.ms,1734991314775000000,1734991341536000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1734991314775000000,1734991341536000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1734991314775000000,1734991341536000000,0
workspaceModel.global.updates.ms,1734991314775000000,1734991341536000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1734991314775000000,1734991341536000000,0
jps.load.initial.state.ms,1734991314775000000,1734991341536000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1734991314775000000,1734991341536000000,0
jps.library.entities.serializer.save.entities.ms,1734991314775000000,1734991341536000000,2
workspaceModel.moduleManagerBridge.get.modules.ms,1734991314775000000,1734991341536000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1734991314775000000,1734991341536000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1734991314775000000,1734991341536000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1734991314775000000,1734991341536000000,9
workspaceModel.do.save.caches.ms,1734991314775000000,1734991341536000000,0
jps.load.project.to.empty.storage.ms,1734991314775000000,1734991341536000000,0
jps.apply.loaded.storage.ms,1734991314775000000,1734991341536000000,0
jps.modifiable.module.model.bridge.renaming.ms,1734991314775000000,1734991341536000000,0
workspaceModel.mutableEntityStorage.instances.count,1734991314775000000,1734991341536000000,2
jps.project.serializers.save.ms,1734991314775000000,1734991341536000000,19
jps.project.serializers.load.ms,1734991314775000000,1734991341536000000,0
workspaceModel.save.cache.to.file.ms,1734991314775000000,1734991341536000000,0
workspaceModel.load.cache.from.file.ms,1734991314775000000,1734991341536000000,0
jps.modifiable.module.model.bridge.new.module.ms,1734991314775000000,1734991341536000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1734991314775000000,1734991341536000000,1
jps.module.iml.entities.serializer.load.entities.ms,1734991314775000000,1734991341536000000,0
jps.global.get.library.by.name.ms,1734991314775000000,1734991341536000000,0
jps.global.handle.changed.events.ms,1734991314775000000,1734991341536000000,0
jps.artifact.entities.serializer.save.entities.ms,1734991314775000000,1734991341536000000,0
jps.global.initialize.library.bridges.after.loading.ms,1734991314775000000,1734991341536000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1734991314775000000,1734991341536000000,0
jps.save.global.entities.ms,1734991314775000000,1734991341536000000,22
jps.facet.change.listener.process.change.events.ms,1734991314775000000,1734991341536000000,0
